;scaler;scaler_object;pca;pca_object;umap;umap_object;log;log_object;test_BIC;test_BIC_std;test_sensitivity;test_sensitivity_std;test_specificity;test_specificity_std;test_NPV;test_NPV_std;test_PPV;test_PPV_std;test_balanced_accuracy;test_balanced_accuracy_std;test_f1;test_f1_std
1;QuantileTransformer();QuantileTransformer();PCA(n_components=2,);PCA(n_components=2, random_state=123);UMAP(n_components=2,n_neighbors=5,min_dist=0.001,);UMAP(min_dist=0.001, n_neighbors=5, random_state=123, tqdm_kwds={'bar_format': '{desc}: {percentage:3.0f}%| {bar} {n_fmt}/{total_fmt} [{elapsed}]', 'desc': 'Epochs completed', 'disable': True});LogisticRegression(class_weight=None,C=0.1,);LogisticRegression(C=0.1, max_iter=1000, random_state=123);42.9901775590218;0.0;1.0;0.0;0.0;0.0;;;0.6410009624639076;0.0;0.5;0.0;0.7812316715542521;0.0
2;QuantileTransformer();QuantileTransformer();PCA(n_components=2,);PCA(n_components=2, random_state=123);UMAP(n_components=2,n_neighbors=5,min_dist=0.001,);UMAP(min_dist=0.001, n_neighbors=5, random_state=123, tqdm_kwds={'bar_format': '{desc}: {percentage:3.0f}%| {bar} {n_fmt}/{total_fmt} [{elapsed}]', 'desc': 'Epochs completed', 'disable': True});LogisticRegression(class_weight=None,C=1.0,);LogisticRegression(max_iter=1000, random_state=123);42.9901775590218;0.0;1.0;0.0;0.0;0.0;;;0.6410009624639076;0.0;0.5;0.0;0.7812316715542521;0.0
3;QuantileTransformer();QuantileTransformer();PCA(n_components=2,);PCA(n_components=2, random_state=123);UMAP(n_components=2,n_neighbors=5,min_dist=0.001,);UMAP(min_dist=0.001, n_neighbors=5, random_state=123, tqdm_kwds={'bar_format': '{desc}: {percentage:3.0f}%| {bar} {n_fmt}/{total_fmt} [{elapsed}]', 'desc': 'Epochs completed', 'disable': True});LogisticRegression(class_weight=None,C=100,);LogisticRegression(C=100, max_iter=1000, random_state=123);42.9901775590218;0.0;1.0;0.0;0.0;0.0;;;0.6410009624639076;0.0;0.5;0.0;0.7812316715542521;0.0
4;QuantileTransformer();QuantileTransformer();PCA(n_components=2,);PCA(n_components=2, random_state=123);UMAP(n_components=2,n_neighbors=5,min_dist=0.001,);UMAP(min_dist=0.001, n_neighbors=5, random_state=123, tqdm_kwds={'bar_format': '{desc}: {percentage:3.0f}%| {bar} {n_fmt}/{total_fmt} [{elapsed}]', 'desc': 'Epochs completed', 'disable': True});LogisticRegression(class_weight=None,C=1000,);LogisticRegression(C=1000, max_iter=1000, random_state=123);42.9901775590218;0.0;1.0;0.0;0.0;0.0;;;0.6410009624639076;0.0;0.5;0.0;0.7812316715542521;0.0
5;QuantileTransformer();QuantileTransformer();PCA(n_components=2,);PCA(n_components=2, random_state=123);UMAP(n_components=2,n_neighbors=5,min_dist=0.001,);UMAP(min_dist=0.001, n_neighbors=5, random_state=123, tqdm_kwds={'bar_format': '{desc}: {percentage:3.0f}%| {bar} {n_fmt}/{total_fmt} [{elapsed}]', 'desc': 'Epochs completed', 'disable': True});LogisticRegression(class_weight='balanced',C=0.1,);"LogisticRegression(C=0.1, class_weight='balanced', max_iter=1000,
                   random_state=123)";52.17627901950132;0.0;0.5168168168168168;0.0;0.5077747989276139;0.0;0.3705007824726135;0.0;0.6521409624857901;0.0;0.5122958078722153;0.0;0.5766460043558385;0.0
6;QuantileTransformer();QuantileTransformer();PCA(n_components=2,);PCA(n_components=2, random_state=123);UMAP(n_components=2,n_neighbors=5,min_dist=0.001,);UMAP(min_dist=0.001, n_neighbors=5, random_state=123, tqdm_kwds={'bar_format': '{desc}: {percentage:3.0f}%| {bar} {n_fmt}/{total_fmt} [{elapsed}]', 'desc': 'Epochs completed', 'disable': True});LogisticRegression(class_weight='balanced',C=1.0,);LogisticRegression(class_weight='balanced', max_iter=1000, random_state=123);52.17627901950132;0.0;0.5168168168168168;0.0;0.5077747989276139;0.0;0.3705007824726135;0.0;0.6521409624857901;0.0;0.5122958078722153;0.0;0.5766460043558385;0.0
7;QuantileTransformer();QuantileTransformer();PCA(n_components=2,);PCA(n_components=2, random_state=123);UMAP(n_components=2,n_neighbors=5,min_dist=0.001,);UMAP(min_dist=0.001, n_neighbors=5, random_state=123, tqdm_kwds={'bar_format': '{desc}: {percentage:3.0f}%| {bar} {n_fmt}/{total_fmt} [{elapsed}]', 'desc': 'Epochs completed', 'disable': True});LogisticRegression(class_weight='balanced',C=100,);"LogisticRegression(C=100, class_weight='balanced', max_iter=1000,
                   random_state=123)";52.17627901950132;0.0;0.5168168168168168;0.0;0.5077747989276139;0.0;0.3705007824726135;0.0;0.6521409624857901;0.0;0.5122958078722153;0.0;0.5766460043558385;0.0
8;QuantileTransformer();QuantileTransformer();PCA(n_components=2,);PCA(n_components=2, random_state=123);UMAP(n_components=2,n_neighbors=5,min_dist=0.001,);UMAP(min_dist=0.001, n_neighbors=5, random_state=123, tqdm_kwds={'bar_format': '{desc}: {percentage:3.0f}%| {bar} {n_fmt}/{total_fmt} [{elapsed}]', 'desc': 'Epochs completed', 'disable': True});LogisticRegression(class_weight='balanced',C=1000,);"LogisticRegression(C=1000, class_weight='balanced', max_iter=1000,
                   random_state=123)";52.17627901950132;0.0;0.5168168168168168;0.0;0.5077747989276139;0.0;0.3705007824726135;0.0;0.6521409624857901;0.0;0.5122958078722153;0.0;0.5766460043558385;0.0
9;QuantileTransformer();QuantileTransformer();PCA(n_components=2,);PCA(n_components=2, random_state=123);UMAP(n_components=2,n_neighbors=5,min_dist=0.01,);UMAP(min_dist=0.01, n_neighbors=5, random_state=123, tqdm_kwds={'bar_format': '{desc}: {percentage:3.0f}%| {bar} {n_fmt}/{total_fmt} [{elapsed}]', 'desc': 'Epochs completed', 'disable': True});LogisticRegression(class_weight=None,C=0.1,);LogisticRegression(C=0.1, max_iter=1000, random_state=123);42.9901775590218;0.0;1.0;0.0;0.0;0.0;;;0.6410009624639076;0.0;0.5;0.0;0.7812316715542521;0.0
10;QuantileTransformer();QuantileTransformer();PCA(n_components=2,);PCA(n_components=2, random_state=123);UMAP(n_components=2,n_neighbors=5,min_dist=0.01,);UMAP(min_dist=0.01, n_neighbors=5, random_state=123, tqdm_kwds={'bar_format': '{desc}: {percentage:3.0f}%| {bar} {n_fmt}/{total_fmt} [{elapsed}]', 'desc': 'Epochs completed', 'disable': True});LogisticRegression(class_weight=None,C=1.0,);LogisticRegression(max_iter=1000, random_state=123);42.9901775590218;0.0;1.0;0.0;0.0;0.0;;;0.6410009624639076;0.0;0.5;0.0;0.7812316715542521;0.0
