;scaler;scaler_object;pca;pca_object;umap;umap_object;log;log_object;fit_time;fit_time_std;score_time;score_time_std;test_score;test_score_std
1;QuantileTransformer();QuantileTransformer();PCA(n_components=2,);PCA(n_components=2, random_state=123);UMAP(n_components=2,n_neighbors=5,min_dist=0.1,);UMAP(n_neighbors=5, random_state=123, tqdm_kwds={'bar_format': '{desc}: {percentage:3.0f}%| {bar} {n_fmt}/{total_fmt} [{elapsed}]', 'desc': 'Epochs completed', 'disable': True});LogisticRegression(class_weight=None,C=0.1,);LogisticRegression(C=0.1, max_iter=1000, random_state=123);0.017132329940795898;0.0018801409041823707;0.0009059906005859375;0.0009941344155730571;0.6372934240988181;0.00010558559763805562
2;QuantileTransformer();QuantileTransformer();PCA(n_components=2,);PCA(n_components=2, random_state=123);UMAP(n_components=2,n_neighbors=5,min_dist=0.1,);UMAP(n_neighbors=5, random_state=123, tqdm_kwds={'bar_format': '{desc}: {percentage:3.0f}%| {bar} {n_fmt}/{total_fmt} [{elapsed}]', 'desc': 'Epochs completed', 'disable': True});LogisticRegression(class_weight=None,C=1.0,);LogisticRegression(max_iter=1000, random_state=123);0.017106294631958008;0.0013735480200502128;0.0009019851684570312;0.0009824228374575314;0.6372934240988181;0.00010558559763805562
3;QuantileTransformer();QuantileTransformer();PCA(n_components=2,);PCA(n_components=2, random_state=123);UMAP(n_components=2,n_neighbors=5,min_dist=0.1,);UMAP(n_neighbors=5, random_state=123, tqdm_kwds={'bar_format': '{desc}: {percentage:3.0f}%| {bar} {n_fmt}/{total_fmt} [{elapsed}]', 'desc': 'Epochs completed', 'disable': True});LogisticRegression(class_weight=None,C=100,);LogisticRegression(C=100, max_iter=1000, random_state=123);0.017525386810302735;0.0015534343065988568;0.0010013103485107422;6.08710227860754e-06;0.6372934240988181;0.00010558559763805562
4;QuantileTransformer();QuantileTransformer();PCA(n_components=2,);PCA(n_components=2, random_state=123);UMAP(n_components=2,n_neighbors=5,min_dist=0.1,);UMAP(n_neighbors=5, random_state=123, tqdm_kwds={'bar_format': '{desc}: {percentage:3.0f}%| {bar} {n_fmt}/{total_fmt} [{elapsed}]', 'desc': 'Epochs completed', 'disable': True});LogisticRegression(class_weight=None,C=1000,);LogisticRegression(C=1000, max_iter=1000, random_state=123);0.017623710632324218;0.00192660062737131;0.0010361671447753906;0.0001417620110565068;0.6372934240988181;0.00010558559763805562
5;QuantileTransformer();QuantileTransformer();PCA(n_components=2,);PCA(n_components=2, random_state=123);UMAP(n_components=2,n_neighbors=5,min_dist=0.1,);UMAP(n_neighbors=5, random_state=123, tqdm_kwds={'bar_format': '{desc}: {percentage:3.0f}%| {bar} {n_fmt}/{total_fmt} [{elapsed}]', 'desc': 'Epochs completed', 'disable': True});LogisticRegression(class_weight='balanced',C=0.1,);"LogisticRegression(C=0.1, class_weight='balanced', max_iter=1000,
                   random_state=123)";0.01838550567626953;0.002375451791042958;0.001019906997680664;0.0013231005190857455;0.5149661883141602;0.01890002294302026
6;QuantileTransformer();QuantileTransformer();PCA(n_components=2,);PCA(n_components=2, random_state=123);UMAP(n_components=2,n_neighbors=5,min_dist=0.1,);UMAP(n_neighbors=5, random_state=123, tqdm_kwds={'bar_format': '{desc}: {percentage:3.0f}%| {bar} {n_fmt}/{total_fmt} [{elapsed}]', 'desc': 'Epochs completed', 'disable': True});LogisticRegression(class_weight='balanced',C=1.0,);LogisticRegression(class_weight='balanced', max_iter=1000, random_state=123);0.018437957763671874;0.001370752179918181;0.0007119655609130859;0.0012328246929154197;0.5149661883141602;0.01890002294302026
7;QuantileTransformer();QuantileTransformer();PCA(n_components=2,);PCA(n_components=2, random_state=123);UMAP(n_components=2,n_neighbors=5,min_dist=0.1,);UMAP(n_neighbors=5, random_state=123, tqdm_kwds={'bar_format': '{desc}: {percentage:3.0f}%| {bar} {n_fmt}/{total_fmt} [{elapsed}]', 'desc': 'Epochs completed', 'disable': True});LogisticRegression(class_weight='balanced',C=100,);"LogisticRegression(C=100, class_weight='balanced', max_iter=1000,
                   random_state=123)";0.019076204299926756;0.001993895693998424;0.0010506153106689454;0.0012807419500682287;0.5149661883141602;0.01890002294302026
8;QuantileTransformer();QuantileTransformer();PCA(n_components=2,);PCA(n_components=2, random_state=123);UMAP(n_components=2,n_neighbors=5,min_dist=0.1,);UMAP(n_neighbors=5, random_state=123, tqdm_kwds={'bar_format': '{desc}: {percentage:3.0f}%| {bar} {n_fmt}/{total_fmt} [{elapsed}]', 'desc': 'Epochs completed', 'disable': True});LogisticRegression(class_weight='balanced',C=1000,);"LogisticRegression(C=1000, class_weight='balanced', max_iter=1000,
                   random_state=123)";0.020276498794555665;0.0013348852792393025;0.0012124061584472656;0.0007958219547580528;0.5149661883141602;0.01890002294302026
9;QuantileTransformer();QuantileTransformer();PCA(n_components=2,);PCA(n_components=2, random_state=123);UMAP(n_components=2,n_neighbors=5,min_dist=0.5,);UMAP(min_dist=0.5, n_neighbors=5, random_state=123, tqdm_kwds={'bar_format': '{desc}: {percentage:3.0f}%| {bar} {n_fmt}/{total_fmt} [{elapsed}]', 'desc': 'Epochs completed', 'disable': True});LogisticRegression(class_weight=None,C=0.1,);LogisticRegression(C=0.1, max_iter=1000, random_state=123);0.015338897705078125;0.0012114799649246978;0.0010092735290527343;2.367418456928452e-05;0.6372934240988181;0.00010558559763805562
10;QuantileTransformer();QuantileTransformer();PCA(n_components=2,);PCA(n_components=2, random_state=123);UMAP(n_components=2,n_neighbors=5,min_dist=0.5,);UMAP(min_dist=0.5, n_neighbors=5, random_state=123, tqdm_kwds={'bar_format': '{desc}: {percentage:3.0f}%| {bar} {n_fmt}/{total_fmt} [{elapsed}]', 'desc': 'Epochs completed', 'disable': True});LogisticRegression(class_weight=None,C=1.0,);LogisticRegression(max_iter=1000, random_state=123);0.015482759475708008;0.0015923287500535853;0.0010653495788574218;0.00017017692224134177;0.6372934240988181;0.00010558559763805562
